Response_ID,Employee_ID,Survey_Round,Milestone,Driver,Score,Comment,Submitted_At
PK-5026,EMP7011,Day 60,Day 60,Role Clarity,5,"Good start, team is welcoming.",2026-07-14 00:00:00
PK-5027,EMP7012,Day 7,Day 7,Onboarding,6,Enjoying the projects.,2026-06-28 00:00:00
PK-5028,EMP7012,Day 30,Day 30,Belonging,7,"Good start, team is welcoming.",2026-07-11 00:00:00
PK-5029,EMP7012,Day 60,Day 60,Role Clarity,6,"Good start, team is welcoming.",29/06/2026
PK-5030,EMP7013,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-07-15 00:00:00
PK-5031,EMP7013,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,Jun 20 2026
PK-5032,EMP7013,Day 60,Day 60,Role Clarity,2,Enjoying the projects.,2026-07-09 00:00:00
PK-5033,EMP7014,Day 7,Day 7,Onboarding,7,Smooth onboarding.,2026-06-29 00:00:00
PK-5034,EMP7014,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,2026-06-29 00:00:00
PK-5035,EMP7014,Day 60,Day 60,Role Clarity,3,"Good start, team is welcoming.",14/07/2026
PK-5036,EMP7015,Day 7,Day 7,Onboarding,5,Enjoying the projects.,2026-07-15 00:00:00
PK-5037,EMP7015,Day 30,Day 30,Belonging,6,"Clear enough, still learning.",16/06/2026
PK-5038,EMP7015,Day 60,Day 60,Role Clarity,8,"Clear enough, still learning.",2026-07-15 00:00:00
PK-5039,EMP7016,Day 7,Day 7,Onboarding,6,"Clear enough, still learning.",2026-07-04 00:00:00
PK-5040,EMP7016,Day 30,Day 30,Belonging,10,Minor delays with access but resolved.,2026-06-26 00:00:00
PK-5041,EMP7016,Day 60,Day 60,Role Clarity,8,Enjoying the projects.,15/07/2026
PK-5042,EMP7017,Day 60,Day 60,Role Clarity,5,Minor delays with access but resolved.,2026-07-01 00:00:00
PK-5043,EMP7018,Day 7,Day 7,Onboarding,8,Smooth onboarding.,2026-06-24 00:00:00
PK-5044,EMP7018,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,2026-07-11 00:00:00
PK-5045,EMP7019,Day 7,Day 7,Onboarding,2,Smooth onboarding.,2026-06-29 00:00:00
PK-5046,EMP7019,Day 30,Day 30,Belonging,5,Enjoying the projects.,2026-07-07 00:00:00
PK-5047,EMP7019,Day 60,Day 60,Role Clarity,2,Enjoying the projects.,2026-06-26 00:00:00
PK-5048,EMP7020,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-07-09 00:00:00
PK-5049,EMP7020,Day 60,Day 60,Role Clarity,3,"Good start, team is welcoming.",10/07/2026
PK-5050,EMP7021,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,2026-06-21 00:00:00
PK-5051,EMP7021,Day 30,Day 30,Belonging,2,Enjoying the projects.,2026-06-27 00:00:00
PK-5052,EMP7021,Day 60,Day 60,Role Clarity,7,Would like more 1:1 time.,2026-06-16 00:00:00
PK-5053,EMP7022,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",2026-06-20 00:00:00
PK-5054,EMP7022,Day 30,Day 30,Belonging,6,Minor delays with access but resolved.,2026-07-02 00:00:00
PK-5055,EMP7022,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,2026-07-12 00:00:00
PK-5056,EMP7023,Day 7,Day 7,Onboarding,6,Smooth onboarding.,2026-07-08 00:00:00
PK-5057,EMP7023,Day 30,Day 30,Belonging,10,Smooth onboarding.,2026-06-18 00:00:00
PK-5058,EMP7023,Day 60,Day 60,Role Clarity,9,Smooth onboarding.,2026-06-19 00:00:00
PK-5059,EMP7024,Day 7,Day 7,Onboarding,8,"Good start, team is welcoming.",2026-06-21 00:00:00
PK-5060,EMP7024,Day 30,Day 30,Belonging,5,Minor delays with access but resolved.,2026-07-14 00:00:00
PK-5061,EMP7024,Day 60,Day 60,Role Clarity,7,Would like more 1:1 time.,2026-07-04 00:00:00
PK-5062,EMP7025,Day 30,Day 30,Belonging,9,"Good start, team is welcoming.",2026-06-21 00:00:00
PK-5063,EMP7025,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,06/07/2026
PK-5064,EMP7026,Day 7,Day 7,Onboarding,9,Would like more 1:1 time.,2026-06-16 00:00:00
PK-5065,EMP7026,Day 30,Day 30,Belonging,7,Smooth onboarding.,2026-07-07 00:00:00
PK-5066,EMP7026,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",2026-06-18 00:00:00
PK-5067,EMP7027,Day 30,Day 30,Belonging,3,Minor delays with access but resolved.,2026-06-22 00:00:00
PK-5068,EMP7027,Day 60,Day 60,Role Clarity,6,Smooth onboarding.,2026-07-07 00:00:00
PK-5069,EMP7028,Day 7,Day 7,Onboarding,7,"Good start, team is welcoming.",2026-07-10 00:00:00
PK-5070,EMP7028,Day 30,Day 30,Belonging,7,Enjoying the projects.,2026-07-07 00:00:00
PK-5071,EMP7028,Day 60,Day 60,Role Clarity,6,Would like more 1:1 time.,2026-07-11 00:00:00
PK-5072,EMP7029,Day 7,Day 7,Onboarding,6,Enjoying the projects.,Jul 12 2026
PK-5073,EMP7029,Day 30,Day 30,Belonging,8,Minor delays with access but resolved.,2026-07-07 00:00:00
PK-5074,EMP7029,Day 60,Day 60,Role Clarity,8,Enjoying the projects.,2026-07-13 00:00:00
PK-5075,EMP7030,Day 7,Day 7,Onboarding,5,Smooth onboarding.,15/07/2026
PK-5076,EMP7030,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",30/06/2026
PK-5077,EMP7031,Day 7,Day 7,Onboarding,3,Smooth onboarding.,04/07/2026
PK-5078,EMP7031,Day 30,Day 30,Belonging,9,"Clear enough, still learning.",2026-07-05 00:00:00
PK-5079,EMP7031,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,2026-07-13 00:00:00
PK-5080,EMP7032,Day 7,Day 7,Onboarding,9,"Clear enough, still learning.",2026-06-21 00:00:00
PK-5081,EMP7032,Day 60,Day 60,Role Clarity,9,Smooth onboarding.,2026-06-19 00:00:00
PK-5082,EMP7033,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,2026-07-04 00:00:00
PK-5083,EMP7033,Day 30,Day 30,Belonging,9,Minor delays with access but resolved.,2026-06-30 00:00:00
PK-5084,EMP7033,Day 60,Day 60,Role Clarity,9,"Clear enough, still learning.",2026-06-30 00:00:00
PK-5085,EMP7034,Day 30,Day 30,Belonging,10,"Good start, team is welcoming.",Jul 07 2026
PK-5086,EMP7035,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-07-02 00:00:00
PK-5087,EMP7035,Day 60,Day 60,Role Clarity,9,Minor delays with access but resolved.,2026-06-16 00:00:00
PK-5088,EMP7036,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",2026-06-30 00:00:00
PK-5089,EMP7036,Day 60,Day 60,Role Clarity,6,Minor delays with access but resolved.,15/06/2026
PK-5090,EMP7037,Day 7,Day 7,Onboarding,3,Minor delays with access but resolved.,2026-07-05 00:00:00
PK-5091,EMP7037,Day 30,Day 30,Belonging,7,Minor delays with access but resolved.,21/06/2026
PK-5092,EMP7038,Day 7,Day 7,Onboarding,9,Enjoying the projects.,2026-06-29 00:00:00
PK-5093,EMP7038,Day 30,Day 30,Belonging,9,Smooth onboarding.,2026-06-28 00:00:00
PK-5094,EMP7039,Day 7,Day 7,Onboarding,5,"Good start, team is welcoming.",2026-07-02 00:00:00
PK-5095,EMP7039,Day 30,Day 30,Belonging,7,Smooth onboarding.,2026-07-01 00:00:00
PK-5096,EMP7039,Day 60,Day 60,Role Clarity,6,Enjoying the projects.,2026-07-05 00:00:00
PK-5097,EMP7040,Day 60,Day 60,Role Clarity,6,Would like more 1:1 time.,Jun 18 2026
PK-5098,EMP7041,Day 7,Day 7,Onboarding,10,Smooth onboarding.,23/06/2026
PK-5099,EMP7041,Day 30,Day 30,Belonging,10,"Good start, team is welcoming.",02/07/2026
PK-5100,EMP7041,Day 60,Day 60,Role Clarity,10,Minor delays with access but resolved.,2026-07-04 00:00:00
PK-5101,EMP7042,Day 7,Day 7,Onboarding,7,"Clear enough, still learning.",Jul 06 2026
PK-5102,EMP7042,Day 30,Day 30,Belonging,6,"Clear enough, still learning.",2026-07-04 00:00:00
PK-5103,EMP7042,Day 60,Day 60,Role Clarity,10,Would like more 1:1 time.,2026-06-22 00:00:00
PK-5104,EMP7043,Day 7,Day 7,Onboarding,5,"Good start, team is welcoming.",2026-06-16 00:00:00
PK-5105,EMP7043,Day 30,Day 30,Belonging,6,Minor delays with access but resolved.,2026-07-15 00:00:00
PK-5106,EMP7043,Day 60,Day 60,Role Clarity,3,"Clear enough, still learning.",2026-06-20 00:00:00
PK-5107,EMP7044,Day 30,Day 30,Belonging,7,Would like more 1:1 time.,24/06/2026
PK-5108,EMP7044,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-06-23 00:00:00
PK-5109,EMP7045,Day 7,Day 7,Onboarding,5,"Good start, team is welcoming.",2026-06-27 00:00:00
PK-5110,EMP7045,Day 30,Day 30,Belonging,8,Enjoying the projects.,2026-06-15 00:00:00
PK-5111,EMP7045,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-06-22 00:00:00
PK-5112,EMP7046,Day 7,Day 7,Onboarding,6,"Good start, team is welcoming.",2026-06-19 00:00:00
PK-5113,EMP7046,Day 30,Day 30,Belonging,9,"Clear enough, still learning.",2026-07-01 00:00:00
PK-5114,EMP7046,Day 60,Day 60,Role Clarity,3,"Good start, team is welcoming.",2026-07-12 00:00:00
PK-5115,EMP7047,Day 7,Day 7,Onboarding,8,Would like more 1:1 time.,2026-07-03 00:00:00
PK-5116,EMP7047,Day 30,Day 30,Belonging,6,Would like more 1:1 time.,2026-06-27 00:00:00
PK-5117,EMP7047,Day 60,Day 60,Role Clarity,9,Would like more 1:1 time.,2026-06-26 00:00:00
PK-5118,EMP7048,Day 30,Day 30,Belonging,5,Enjoying the projects.,2026-06-17 00:00:00
PK-5119,EMP7050,Day 7,Day 7,Onboarding,6,"Clear enough, still learning.",Jun 26 2026
PK-5120,EMP7050,Day 30,Day 30,Belonging,3,Would like more 1:1 time.,2026-06-22 00:00:00
PK-5121,EMP7051,Day 7,Day 7,Onboarding,8,"Clear enough, still learning.",2026-06-19 00:00:00
PK-5122,EMP7051,Day 30,Day 30,Belonging,8,Smooth onboarding.,2026-07-05 00:00:00
PK-5123,EMP7052,Day 7,Day 7,Onboarding,9,Enjoying the projects.,2026-07-13 00:00:00
PK-5124,EMP7052,Day 30,Day 30,Belonging,5,Would like more 1:1 time.,2026-07-06 00:00:00
PK-5125,EMP7052,Day 60,Day 60,Role Clarity,6,"Good start, team is welcoming.",2026-07-10 00:00:00
PK-5126,EMP7053,Day 30,Day 30,Belonging,8,"Clear enough, still learning.",2026-07-12 00:00:00
PK-5127,EMP7054,Day 7,Day 7,Onboarding,6,Would like more 1:1 time.,2026-06-20 00:00:00
PK-5128,EMP7054,Day 60,Day 60,Role Clarity,7,"Good start, team is welcoming.",2026-07-02 00:00:00
PK-5129,EMP7055,Day 7,Day 7,Onboarding,8,"Good start, team is welcoming.",22/06/2026
PK-5130,EMP7055,Day 60,Day 60,Role Clarity,8,"Good start, team is welcoming.",2026-06-27 00:00:00
PK-5131,EMP7056,Day 7,Day 7,Onboarding,8,Minor delays with access but resolved.,16/06/2026
PK-5132,EMP7056,Day 30,Day 30,Belonging,5,"Good start, team is welcoming.",2026-07-02 00:00:00
PK-5133,EMP7056,Day 60,Day 60,Role Clarity,7,Minor delays with access but resolved.,2026-06-21 00:00:00
PK-5134,EMP7057,Day 7,Day 7,Onboarding,6,"Good start, team is welcoming.",2026-06-17 00:00:00
PK-5135,EMP7057,Day 30,Day 30,Belonging,6,Smooth onboarding.,Jun 15 2026
PK-5136,EMP7058,Day 7,Day 7,Onboarding,5,Enjoying the projects.,2026-07-05 00:00:00
PK-5137,EMP7058,Day 30,Day 30,Belonging,10,Smooth onboarding.,2026-07-10 00:00:00
PK-5138,EMP7058,Day 60,Day 60,Role Clarity,10,"Good start, team is welcoming.",2026-07-10 00:00:00
PK-5139,EMP7059,Day 7,Day 7,Onboarding,10,"Good start, team is welcoming.",2026-06-17 00:00:00
PK-5140,EMP7059,Day 60,Day 60,Role Clarity,8,"Clear enough, still learning.",2026-06-24 00:00:00
