Integration_Event_ID,Employee_ID,Resource,Requested_On,Status,Fulfilled_On
INT-60045,EMP7008,System Access,2026-07-07,Blocked,
INT-60046,EMP7009,Laptop,2026-07-13,Fulfilled,2026-07-07
INT-60047,EMP7009,Email,2026-07-18,Blocked,
INT-60048,EMP7009,Badge,2026-07-08,Fulfilled,2026-07-02
INT-60049,EMP7009,VPN,2026-07-11,Fulfilled,2026-07-11
INT-60050,EMP7009,System Access,2026-07-28,Fulfilled,2026-07-11
INT-60051,EMP7010,Laptop,2026-07-28,Fulfilled,2026-07-02
INT-60052,EMP7010,Email,2026-07-31,Fulfilled,2026-07-08
INT-60053,EMP7010,Badge,2026-07-08,Requested,
INT-60054,EMP7010,VPN,2026-07-13,Fulfilled,2026-07-05
INT-60055,EMP7010,System Access,2026-07-19,Fulfilled,2026-07-13
INT-60056,EMP7011,Laptop,2026-07-16,Fulfilled,2026-07-14
INT-60057,EMP7011,Email,2026-07-09,Fulfilled,2026-07-07
INT-60058,EMP7011,Badge,2026-07-08,Fulfilled,2026-07-01
INT-60059,EMP7011,VPN,2026-07-16,Fulfilled,2026-07-08
INT-60060,EMP7011,System Access,2026-08-09,Requested,
INT-60061,EMP7012,Laptop,2026-07-29,Fulfilled,2026-07-02
INT-60062,EMP7012,Email,2026-08-07,Fulfilled,2026-07-03
INT-60063,EMP7012,Badge,2026-07-27,Fulfilled,2026-07-14
INT-60064,EMP7012,VPN,2026-08-02,Fulfilled,2026-06-30
INT-60065,EMP7012,System Access,2026-07-23,Fulfilled,2026-07-14
INT-60066,EMP7013,Laptop,2026-07-27,Requested,
INT-60067,EMP7013,Email,2026-07-05,Fulfilled,2026-07-01
INT-60068,EMP7013,Badge,2026-08-01,Fulfilled,2026-07-13
INT-60069,EMP7013,VPN,2026-08-05,Fulfilled,2026-07-05
INT-60070,EMP7013,System Access,2026-07-10,Blocked,
INT-60071,EMP7014,Laptop,2026-07-08,Fulfilled,2026-07-10
INT-60072,EMP7014,Email,2026-07-31,Requested,
INT-60073,EMP7014,Badge,2026-07-30,Fulfilled,2026-07-08
INT-60074,EMP7014,VPN,2026-07-23,Fulfilled,2026-07-10
INT-60075,EMP7014,System Access,2026-08-08,Fulfilled,2026-07-09
INT-60076,EMP7015,Laptop,2026-07-09,Fulfilled,2026-07-03
INT-60077,EMP7015,Email,2026-07-18,Fulfilled,2026-07-08
INT-60078,EMP7015,Badge,2026-07-29,Fulfilled,2026-07-08
INT-60079,EMP7015,VPN,2026-07-20,Fulfilled,2026-07-14
INT-60080,EMP7015,System Access,2026-07-17,Fulfilled,2026-07-04
INT-60081,EMP7016,Laptop,2026-07-06,Fulfilled,2026-07-01
INT-60082,EMP7016,Email,2026-07-21,Fulfilled,2026-07-02
INT-60083,EMP7016,Badge,2026-07-30,Requested,
INT-60084,EMP7016,VPN,2026-07-06,Requested,
INT-60085,EMP7016,System Access,2026-07-14,Fulfilled,2026-07-04
INT-60086,EMP7017,Laptop,2026-07-22,Fulfilled,2026-07-07
INT-60087,EMP7017,Email,2026-07-22,Fulfilled,2026-07-06
INT-60088,EMP7017,Badge,2026-07-11,Requested,
INT-60089,EMP7017,VPN,2026-07-16,Fulfilled,2026-07-13
INT-60090,EMP7017,System Access,2026-07-16,Fulfilled,2026-07-08
INT-60091,EMP7018,Laptop,2026-07-14,Fulfilled,2026-07-02
INT-60092,EMP7018,Email,2026-07-19,Requested,
INT-60093,EMP7018,Badge,2026-07-12,Requested,
INT-60094,EMP7018,VPN,2026-07-21,Requested,
INT-60095,EMP7018,System Access,2026-08-05,Fulfilled,2026-07-13
INT-60096,EMP7019,Laptop,2026-07-05,Fulfilled,2026-07-04
INT-60097,EMP7019,Email,2026-07-19,Fulfilled,2026-07-06
INT-60098,EMP7019,Badge,2026-08-07,Requested,
INT-60099,EMP7019,VPN,2026-08-01,Fulfilled,2026-07-13
INT-60100,EMP7019,System Access,2026-08-03,Fulfilled,2026-07-05
INT-60101,EMP7020,Laptop,2026-07-28,Requested,
INT-60102,EMP7020,Email,2026-08-03,Fulfilled,2026-07-03
INT-60103,EMP7020,Badge,2026-07-12,Blocked,
INT-60104,EMP7020,VPN,2026-08-06,Fulfilled,2026-07-10
INT-60105,EMP7020,System Access,2026-07-28,Fulfilled,2026-07-15
INT-60106,EMP7021,Laptop,2026-07-29,Fulfilled,2026-07-11
INT-60107,EMP7021,Email,2026-08-07,Fulfilled,2026-07-13
INT-60108,EMP7021,Badge,2026-07-15,Fulfilled,2026-07-09
INT-60109,EMP7021,VPN,2026-07-24,Blocked,
INT-60110,EMP7021,System Access,2026-07-24,Blocked,
INT-60111,EMP7022,Laptop,2026-07-27,Fulfilled,2026-07-06
INT-60112,EMP7022,Email,2026-07-24,Fulfilled,2026-06-30
INT-60113,EMP7022,Badge,2026-07-06,Fulfilled,2026-07-11
INT-60114,EMP7022,VPN,2026-07-24,Fulfilled,2026-07-11
INT-60115,EMP7022,System Access,2026-08-04,Blocked,
INT-60116,EMP7023,Laptop,2026-07-15,Fulfilled,2026-07-05
INT-60117,EMP7023,Email,2026-07-30,Fulfilled,2026-07-09
INT-60118,EMP7023,Badge,2026-08-07,Fulfilled,2026-07-07
INT-60119,EMP7023,VPN,2026-08-04,Requested,
INT-60120,EMP7023,System Access,2026-08-02,Fulfilled,2026-07-14
INT-60121,EMP7024,Laptop,2026-07-06,Fulfilled,2026-07-05
INT-60122,EMP7024,Email,2026-07-15,Fulfilled,2026-07-07
INT-60123,EMP7024,Badge,2026-08-02,Fulfilled,2026-07-08
INT-60124,EMP7024,VPN,2026-07-20,Fulfilled,2026-07-15
INT-60125,EMP7024,System Access,2026-07-07,Requested,
INT-60126,EMP7025,Laptop,2026-07-12,Requested,
INT-60127,EMP7025,Email,2026-07-08,Fulfilled,2026-07-02
INT-60128,EMP7025,Badge,2026-08-01,Fulfilled,2026-06-30
INT-60129,EMP7025,VPN,2026-07-21,Fulfilled,2026-06-30
INT-60130,EMP7025,System Access,2026-07-25,Requested,
INT-60131,EMP7026,Laptop,2026-07-16,Fulfilled,2026-07-03
INT-60132,EMP7026,Email,2026-07-18,Fulfilled,2026-07-14
INT-60133,EMP7026,Badge,2026-07-20,Fulfilled,2026-07-13
INT-60134,EMP7026,VPN,2026-07-08,Requested,
INT-60135,EMP7026,System Access,2026-07-29,Requested,
INT-60136,EMP7027,Laptop,2026-08-09,Fulfilled,2026-07-11
INT-60137,EMP7027,Email,2026-07-06,Fulfilled,2026-07-05
INT-60138,EMP7027,Badge,2026-08-09,Fulfilled,2026-07-10
INT-60139,EMP7027,VPN,2026-08-02,Fulfilled,2026-07-11
INT-60140,EMP7027,System Access,2026-07-06,Fulfilled,2026-07-04
INT-60141,EMP7028,Laptop,2026-07-28,Fulfilled,2026-07-11
INT-60142,EMP7028,Email,2026-07-20,Blocked,
INT-60143,EMP7028,Badge,2026-08-04,Fulfilled,2026-07-06
INT-60144,EMP7028,VPN,2026-08-08,Fulfilled,2026-07-04
INT-60145,EMP7028,System Access,2026-08-07,Fulfilled,2026-07-04
INT-60146,EMP7029,Laptop,2026-07-21,Requested,
INT-60147,EMP7029,Email,2026-07-28,Fulfilled,2026-07-11
INT-60148,EMP7029,Badge,2026-07-07,Fulfilled,2026-07-08
INT-60149,EMP7029,VPN,2026-08-07,Blocked,
INT-60150,EMP7029,System Access,2026-07-13,Requested,
INT-60151,EMP7030,Laptop,2026-08-05,Fulfilled,2026-07-09
INT-60152,EMP7030,Email,2026-07-22,Fulfilled,2026-07-12
INT-60153,EMP7030,Badge,2026-07-18,Fulfilled,2026-07-13
INT-60154,EMP7030,VPN,2026-08-06,Fulfilled,2026-07-11
INT-60155,EMP7030,System Access,2026-07-12,Requested,
INT-60156,EMP7031,Laptop,2026-08-05,Fulfilled,2026-07-06
INT-60157,EMP7031,Email,2026-07-12,Fulfilled,2026-07-08
INT-60158,EMP7031,Badge,2026-07-08,Fulfilled,2026-07-06
INT-60159,EMP7031,VPN,2026-07-20,Requested,
INT-60160,EMP7031,System Access,2026-07-10,Fulfilled,2026-07-12
INT-60161,EMP7032,Laptop,2026-07-23,Requested,
INT-60162,EMP7032,Email,2026-07-30,Blocked,
INT-60163,EMP7032,Badge,2026-08-02,Fulfilled,2026-07-07
INT-60164,EMP7032,VPN,2026-07-05,Fulfilled,2026-07-10
INT-60165,EMP7032,System Access,2026-07-15,Fulfilled,2026-07-02
INT-60166,EMP7033,Laptop,2026-07-08,Fulfilled,2026-07-14
INT-60167,EMP7033,Email,2026-07-10,Fulfilled,2026-07-11
INT-60168,EMP7033,Badge,2026-07-06,Fulfilled,2026-07-15
INT-60169,EMP7033,VPN,2026-07-15,Blocked,
INT-60170,EMP7033,System Access,2026-07-17,Requested,
INT-60171,EMP7034,Laptop,2026-07-20,Fulfilled,2026-06-30
INT-60172,EMP7034,Email,2026-07-27,Fulfilled,2026-07-12
INT-60173,EMP7034,Badge,2026-08-04,Fulfilled,2026-07-14
INT-60174,EMP7034,VPN,2026-08-09,Fulfilled,2026-07-08
INT-60175,EMP7034,System Access,2026-07-06,Blocked,
INT-60176,EMP7035,Laptop,2026-07-21,Fulfilled,2026-07-13
INT-60177,EMP7035,Email,2026-07-25,Fulfilled,2026-07-10
INT-60178,EMP7035,Badge,2026-07-24,Fulfilled,2026-07-07
INT-60179,EMP7035,VPN,2026-08-05,Fulfilled,2026-07-09
INT-60180,EMP7035,System Access,2026-07-10,Fulfilled,2026-07-10
INT-60181,EMP7036,Laptop,2026-08-07,Fulfilled,2026-07-13
INT-60182,EMP7036,Email,2026-07-14,Requested,
INT-60183,EMP7036,Badge,2026-07-20,Fulfilled,2026-07-09
INT-60184,EMP7036,VPN,2026-07-09,Fulfilled,2026-07-02
INT-60185,EMP7036,System Access,2026-07-17,Fulfilled,2026-07-08
INT-60186,EMP7037,Laptop,2026-07-31,Fulfilled,2026-07-04
INT-60187,EMP7037,Email,2026-07-15,Fulfilled,2026-07-08
INT-60188,EMP7037,Badge,2026-08-03,Requested,
INT-60189,EMP7037,VPN,2026-08-05,Fulfilled,2026-07-01
INT-60190,EMP7037,System Access,2026-07-11,Fulfilled,2026-07-01
INT-60191,EMP7038,Laptop,2026-08-08,Fulfilled,2026-07-12
INT-60192,EMP7038,Email,2026-07-26,Fulfilled,2026-07-04
INT-60193,EMP7038,Badge,2026-07-22,Requested,
INT-60194,EMP7038,VPN,2026-08-06,Requested,
INT-60195,EMP7038,System Access,2026-07-20,Requested,
INT-60196,EMP7039,Laptop,2026-07-09,Fulfilled,2026-07-15
INT-60197,EMP7039,Email,2026-07-16,Fulfilled,2026-07-07
INT-60198,EMP7039,Badge,2026-07-09,Requested,
INT-60199,EMP7039,VPN,2026-07-17,Fulfilled,2026-07-05
INT-60200,EMP7039,System Access,2026-07-28,Fulfilled,2026-07-12
INT-60201,EMP7040,Laptop,2026-07-19,Fulfilled,2026-06-30
INT-60202,EMP7040,Email,2026-07-31,Fulfilled,2026-07-02
INT-60203,EMP7040,Badge,2026-07-05,Fulfilled,2026-07-10
INT-60204,EMP7040,VPN,2026-07-14,Requested,
INT-60205,EMP7040,System Access,2026-08-05,Requested,
INT-60206,EMP7041,Laptop,2026-07-22,Blocked,
INT-60207,EMP7041,Email,2026-07-07,Blocked,
INT-60208,EMP7041,Badge,2026-07-29,Requested,
INT-60209,EMP7041,VPN,2026-07-22,Fulfilled,2026-07-13
INT-60210,EMP7041,System Access,2026-07-13,Fulfilled,2026-07-04
INT-60211,EMP7042,Laptop,2026-07-21,Requested,
INT-60212,EMP7042,Email,2026-07-20,Fulfilled,2026-07-08
INT-60213,EMP7042,Badge,2026-07-29,Fulfilled,2026-07-01
INT-60214,EMP7042,VPN,2026-07-29,Blocked,
INT-60215,EMP7042,System Access,2026-07-17,Fulfilled,2026-07-15
INT-60216,EMP7043,Laptop,2026-07-30,Fulfilled,2026-07-14
INT-60217,EMP7043,Email,2026-07-28,Fulfilled,2026-07-14
INT-60218,EMP7043,Badge,2026-08-02,Fulfilled,2026-07-13
INT-60219,EMP7043,VPN,2026-07-21,Fulfilled,2026-07-04
INT-60220,EMP7043,System Access,2026-07-16,Fulfilled,2026-07-08
INT-60221,EMP7044,Laptop,2026-07-22,Fulfilled,2026-07-05
INT-60222,EMP7044,Email,2026-07-15,Fulfilled,2026-07-01
INT-60223,EMP7044,Badge,2026-07-26,Requested,
INT-60224,EMP7044,VPN,2026-07-10,Fulfilled,2026-07-06
INT-60225,EMP7044,System Access,2026-07-31,Fulfilled,2026-06-30
INT-60226,EMP7045,Laptop,2026-07-23,Fulfilled,2026-07-06
INT-60227,EMP7045,Email,2026-07-12,Blocked,
INT-60228,EMP7045,Badge,2026-07-13,Requested,
INT-60229,EMP7045,VPN,2026-07-09,Requested,
INT-60230,EMP7045,System Access,2026-07-20,Fulfilled,2026-07-08
INT-60231,EMP7046,Laptop,2026-07-19,Fulfilled,2026-07-02
INT-60232,EMP7046,Email,2026-08-01,Fulfilled,2026-07-09
INT-60233,EMP7046,Badge,2026-08-04,Fulfilled,2026-07-09
INT-60234,EMP7046,VPN,2026-07-21,Fulfilled,2026-07-04
INT-60235,EMP7046,System Access,2026-07-13,Fulfilled,2026-07-15
INT-60236,EMP7047,Laptop,2026-07-20,Fulfilled,2026-07-05
INT-60237,EMP7047,Email,2026-07-19,Fulfilled,2026-07-11
INT-60238,EMP7047,Badge,2026-07-14,Fulfilled,2026-07-08
INT-60239,EMP7047,VPN,2026-07-30,Requested,
INT-60240,EMP7047,System Access,2026-07-24,Fulfilled,2026-07-08
INT-60241,EMP7048,Laptop,2026-07-21,Fulfilled,2026-07-04
INT-60242,EMP7048,Email,2026-07-30,Fulfilled,2026-07-14
INT-60243,EMP7048,Badge,2026-07-06,Requested,
INT-60244,EMP7048,VPN,2026-08-03,Fulfilled,2026-07-11
INT-60245,EMP7048,System Access,2026-07-22,Requested,
INT-60246,EMP7049,Laptop,2026-07-12,Fulfilled,2026-07-15
INT-60247,EMP7049,Email,2026-07-22,Fulfilled,2026-07-03
INT-60248,EMP7049,Badge,2026-07-15,Fulfilled,2026-07-01
INT-60249,EMP7049,VPN,2026-07-28,Fulfilled,2026-07-03
INT-60250,EMP7049,System Access,2026-08-08,Blocked,
INT-60251,EMP7050,Laptop,2026-07-12,Fulfilled,2026-07-14
INT-60252,EMP7050,Email,2026-07-21,Fulfilled,2026-07-04
INT-60253,EMP7050,Badge,2026-07-31,Requested,
INT-60254,EMP7050,VPN,2026-07-24,Fulfilled,2026-07-13
INT-60255,EMP7050,System Access,2026-07-13,Fulfilled,2026-07-15
INT-60256,EMP7051,Laptop,2026-08-09,Requested,
INT-60257,EMP7051,Email,2026-07-05,Fulfilled,2026-07-10
INT-60258,EMP7051,Badge,2026-08-04,Fulfilled,2026-07-14
INT-60259,EMP7051,VPN,2026-07-07,Fulfilled,2026-07-11
INT-60260,EMP7051,System Access,2026-07-19,Fulfilled,2026-07-14
INT-60261,EMP7052,Laptop,2026-07-15,Requested,
INT-60262,EMP7052,Email,2026-07-30,Requested,
INT-60263,EMP7052,Badge,2026-08-01,Fulfilled,2026-07-10
INT-60264,EMP7052,VPN,2026-08-06,Fulfilled,2026-07-10
INT-60265,EMP7052,System Access,2026-08-05,Fulfilled,2026-07-02
INT-60266,EMP7053,Laptop,2026-07-25,Fulfilled,2026-07-04
INT-60267,EMP7053,Email,2026-07-24,Fulfilled,2026-07-03
INT-60268,EMP7053,Badge,2026-07-27,Fulfilled,2026-07-10
INT-60269,EMP7053,VPN,2026-07-28,Fulfilled,2026-07-02
INT-60270,EMP7053,System Access,2026-07-06,Requested,
INT-60271,EMP7054,Laptop,2026-07-12,Fulfilled,2026-07-01
INT-60272,EMP7054,Email,2026-07-12,Fulfilled,2026-07-13
INT-60273,EMP7054,Badge,2026-08-02,Fulfilled,2026-07-03
INT-60274,EMP7054,VPN,2026-07-07,Requested,
INT-60275,EMP7054,System Access,2026-08-06,Fulfilled,2026-07-08
INT-60276,EMP7055,Laptop,2026-07-05,Fulfilled,2026-07-10
INT-60277,EMP7055,Email,2026-07-15,Fulfilled,2026-06-30
INT-60278,EMP7055,Badge,2026-07-27,Requested,
INT-60279,EMP7055,VPN,2026-07-15,Blocked,
INT-60280,EMP7055,System Access,2026-08-02,Fulfilled,2026-07-12
INT-60281,EMP7056,Laptop,2026-08-06,Fulfilled,2026-07-12
INT-60282,EMP7056,Email,2026-07-10,Requested,
INT-60283,EMP7056,Badge,2026-07-21,Fulfilled,2026-07-13
INT-60284,EMP7056,VPN,2026-07-05,Requested,
INT-60285,EMP7056,System Access,2026-07-07,Fulfilled,2026-07-08
INT-60286,EMP7057,Laptop,2026-08-07,Fulfilled,2026-07-09
INT-60287,EMP7057,Email,2026-07-18,Requested,
INT-60288,EMP7057,Badge,2026-07-18,Blocked,
INT-60289,EMP7057,VPN,2026-07-21,Blocked,
INT-60290,EMP7057,System Access,2026-07-10,Requested,
INT-60291,EMP7058,Laptop,2026-07-29,Blocked,
INT-60292,EMP7058,Email,2026-07-23,Fulfilled,2026-07-03
INT-60293,EMP7058,Badge,2026-08-07,Requested,
INT-60294,EMP7058,VPN,2026-07-11,Requested,
INT-60295,EMP7058,System Access,2026-08-06,Fulfilled,2026-07-13
INT-60296,EMP7059,Laptop,2026-07-20,Fulfilled,2026-07-03
INT-60297,EMP7059,Email,2026-07-24,Fulfilled,2026-07-01
INT-60298,EMP7059,Badge,2026-07-05,Fulfilled,2026-07-09
INT-60299,EMP7059,VPN,2026-08-03,Requested,
INT-60300,EMP7059,System Access,2026-08-08,Fulfilled,2026-07-03
